ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263367,1275,-101,-14.5,402,39.739114583027,43.6136507176536,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-14.5,402,39.7409893088605,43.6145497720991,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-15,402,39.7416142174717,43.616797408213,0.000643,0.000114,\N,96,7,0.01
239310,61263367,1275,-101,-15,402,39.7431764889997,43.6183707534928,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-15.9,402,39.7400519459438,43.6149992993219,0.000327,0.000426,\N,71,4,0.05
239310,61263367,1275,-101,-16,402,39.7194299617749,43.6096049726486,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-16.25,402,39.7413017631661,43.6190450443269,0.008353,0.002108,4436,256,5,0.08
239310,61263367,1275,-101,-16.5,402,39.7206797789972,43.6114030815397,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-16.5,402,39.7397394916382,43.6129764268194,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-16.5,402,39.7403644002493,43.6129764268194,2.097781,0.081903,6956,1503,5,0.01
239310,61263367,1275,-101,-17,402,39.7206797789972,43.6073573365347,0.001678,0.012959,14080,2265,5,0.01
239310,61263367,1275,-101,-17.5,402,39.7209922333028,43.6109535543169,0,0,\N,0,6,0.01
239310,61263367,1275,-101,-17.5,402,39.7438013976108,43.6233155529434,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-17.75,402,39.721617141914,43.6078068637574,0.000011,0.000002,\N,5,4,0.02
239310,61263367,1275,-101,-18,402,39.721617141914,43.6073573365347,0.000011,0.000002,\N,2,1,0.01
239310,61263367,1275,-101,-18.5,402,39.7450512148332,43.6194945715497,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-19,402,39.7206797789972,43.6132011904308,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-19.5,402,39.7191175074693,43.6120773723738,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-19.5,402,39.7238043220531,43.6084811545916,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101,-19.5,402,39.7291160452481,43.6145497720991,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-101.07,-15.34,402,39.7394270373326,43.616797408213,0.165058,0.046989,4027,476,6,0.28
239310,61263367,1275,-101.07,-17.03,402,39.7209922333028,43.6114030815397,0.003282,0.001657,2485,436,5,0.15
239310,61263367,1275,-101.09,-16.41,402,39.7394270373326,43.6154488265447,0.023094,0.002041,1282,348,6,0.11
239310,61263367,1275,-101.12,-14.79,402,39.7313032253873,43.6129764268194,0.011885,0.012624,3935,269,7,0.24
239310,61263367,1275,-101.17,-16.5,402,39.7403644002493,43.6183707534928,0.000165,0.000218,\N,131,5,0.06
239310,61263367,1275,-101.17,-17.08,402,39.7203673246916,43.6030868279182,0.001071,0.004578,2424,615,5,0.06
239310,61263367,1275,-101.25,-17.56,402,39.7294284995537,43.6145497720991,0.017521,0.010688,1708,386,4,0.08
239310,61263367,1275,-101.25,-17.58,402,39.7225545048308,43.6082563909802,2.444833,0.179934,2134,662,4,0.12
239310,61263367,1275,-101.25,-19,402,39.723179413442,43.6089306818144,0.000192,0.000004,\N,1,3,0.04
239310,61263367,1275,-101.26,-16.26,402,39.7372398571935,43.6154488265447,0.307931,0.231488,7860,986,5,0.27
239310,61263367,1275,-101.29,-16.57,402,39.7209922333028,43.6120773723738,\N,0,\N,0,\N,0.14
239310,61263367,1275,-101.3,-17.09,402,39.7409893088605,43.6181459898814,3.281685,0.38524,3960,684,4,1.38
239310,61263367,1275,-101.33,-17.58,402,39.7416142174717,43.6190450443269,0.007506,0.049528,2624,\N,5,0.06
239310,61263367,1275,-101.33,-18.17,402,39.7219295962196,43.6060087548663,0.000011,0.000002,\N,3,2,0.03
239310,61263367,1275,-101.33,-19.17,402,39.7203673246916,43.6062335184777,\N,\N,\N,\N,\N,0.09
239310,61263367,1275,-101.39,-16.84,402,39.7397394916382,43.6156735901561,0.832812,0.09678,2854,473,4,0.49
239310,61263367,1275,-101.4,-13.6,402,39.7397394916382,43.6174716990472,0.004599,0.001496,13052,350,8,0.05
239310,61263367,1275,-101.4,-14.5,402,39.7219295962196,43.6116278451511,\N,\N,\N,\N,\N,0.05
239310,61263367,1275,-101.4,-14.76,402,39.7397394916382,43.616797408213,44.032842,2.687615,8527,518,7,1.63
239310,61263367,1275,-101.4,-16.17,402,39.7413017631661,43.6188202807155,0.018849,0.002612,1489,204,5,0.15
239310,61263367,1275,-101.43,-15.07,402,39.7425515803885,43.6190450443269,0.000673,0.000535,3760,248,6,0.07
239310,61263367,1275,-101.5,-14.75,402,39.7394270373326,43.6149992993219,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-101.5,-15,402,39.7241167763587,43.6107287907055,0.000011,0.000002,\N,5,4,0.02
239310,61263367,1275,-101.5,-15.25,402,39.7478633035835,43.6325308610103,0.000011,0.000002,\N,5,2,0.02
239310,61263367,1275,-101.5,-16.21,402,39.7406768545549,43.6170221718244,0.266642,0.027404,3934,617,5,0.28
239310,61263367,1275,-101.5,-17.25,402,39.7453636691388,43.6203936259953,0.000772,0.002371,805,394,4,0.02
239310,61263367,1275,-101.6,-16.1,402,39.7219295962196,43.6105040270941,0.000952,0.000475,2624,667,7,0.05
239310,61263367,1275,-101.64,-15.04,402,39.7428640346941,43.6185955171042,0.281174,0.110177,7242,1354,7,0.14
239310,61263367,1275,-101.66,-17.14,402,39.7400519459438,43.6161231173789,0.554443,0.277824,2425,979,4,0.56
239310,61263367,1275,-101.67,-16.5,402,39.7228669591364,43.6107287907055,0.000035,0.000006,200,4,6,0.12
239310,61263367,1275,-101.67,-17.58,402,39.721617141914,43.6100544998714,0.000011,0.000002,\N,5,4,0.06
239310,61263367,1275,-101.67,-17.67,402,39.7209922333028,43.6093802090372,0.020682,0.010691,2306,1504,4,0.03
239310,61263367,1275,-101.71,-14.29,402,39.739114583027,43.6172469354358,0.026097,0.049541,5375,166,7,0.07
239310,61263367,1275,-101.71,-17.12,402,39.7288035909426,43.6163478809902,0.000895,0.001023,1251,1717,2,0.17
239310,61263367,1275,-101.74,-14.81,402,39.7425515803885,43.6185955171042,0.007248,0.00993,\N,781,8,0.34
239310,61263367,1275,-101.74,-16.51,402,39.7403644002493,43.6170221718244,0.820007,2.831201,3586,863,4,0.68
239310,61263367,1275,-101.75,-17.62,402,39.7219295962196,43.6096049726486,\N,\N,\N,\N,\N,0.04
239310,61263367,1275,-101.75,-19.25,402,39.7222420505252,43.6066830457005,0.073817,0.022526,832,725,2,0.04
239310,61263367,1275,-101.79,-16.89,402,39.7369274028879,43.6154488265447,0.009645,0.005992,3100,414,4,0.19
239310,61263367,1275,-101.82,-16.09,402,39.7403644002493,43.6165726446017,0.047633,0.036008,2977,557,4,0.34
239310,61263367,1275,-101.86,-18.18,402,39.7206797789972,43.6051097004208,0.066751,0.021525,2629,823,4,0.22
239310,61263367,1275,-101.92,-15.57,402,39.7634860188629,43.6251136618345,1.441604,0.379369,7829,1474,6,0.36
239310,61263367,1275,-101.93,-16.58,402,39.7372398571935,43.6158983537675,3.954326,2.245564,4194,696,5,0.71
239310,61263367,1275,-102,-11.5,402,39.7438013976108,43.6194945715497,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-13,402,39.7422391260829,43.6201688623839,0.009092,0.004052,5085,1789,5,0.01
